topic,Available Functions,Tested Functions,Coverage,Model
Vpa,11,26,42.30%,Changan UNI-T 
APP Management ,3,7,42.90%,Changan UNI-T 
Remote Service ,6,8,75.00%,Changan UNI-T 
Personalization,0,10,0,Changan UNI-T 
Instant Massage,4,7,57.10%,Changan UNI-T 
Smart Navigation,7,15,46.70%,Changan UNI-T 
Smart Parking ,4,13,30.80%,Changan UNI-T 
Smart Charging,0,18,0,Changan UNI-T 
Car Wallet,0,6,0,Changan UNI-T 
Game,3,17,17.70%,Changan UNI-T 
Video,0,15,0,Changan UNI-T 
Music,4,16,25%,Changan UNI-T 
Ticket Booking,0,6,0,Changan UNI-T 
Food Ordering,0,7,0,Changan UNI-T 
Vpa,14,26,53.80%,BYD Dolphin 
APP Management ,4,7,57.10%,BYD Dolphin 
Remote Service ,5,8,62.50%,BYD Dolphin 
Personalization,4,10,40.00%,BYD Dolphin 
Instant Massage,7,7,100.00%,BYD Dolphin 
Smart Navigation,13,15,86.70%,BYD Dolphin 
Smart Parking ,6,13,46.20%,BYD Dolphin 
Smart Charging,6,18,33.30%,BYD Dolphin 
Car Wallet,2,6,33.30%,BYD Dolphin 
Game,6,17,35.30%,BYD Dolphin 
Video,12,15,80.00%,BYD Dolphin 
Music,12,16,75.00%,BYD Dolphin 
Ticket Booking,4,6,66.70%,BYD Dolphin 
Food Ordering,6,7,85.70%,BYD Dolphin 
Vpa,16,26,61.50%,VOLKSWAGEN ID.6
APP Management ,4,7,57.10%,VOLKSWAGEN ID.7
Remote Service ,3,8,37.50%,VOLKSWAGEN ID.8
Personalization,3,10,25.00%,VOLKSWAGEN ID.9
Instant Massage,0,7,0,VOLKSWAGEN ID.10
Smart Navigation,2,15,13.30%,VOLKSWAGEN ID.11
Smart Parking ,0,13,0,VOLKSWAGEN ID.12
Smart Charging,0,18,0,VOLKSWAGEN ID.13
Car Wallet,0,6,0,VOLKSWAGEN ID.14
Game,0,17,0,VOLKSWAGEN ID.15
Video,0,15,0,VOLKSWAGEN ID.16
Music,12,16,50.00%,VOLKSWAGEN ID.17
Ticket Booking,0,6,0,VOLKSWAGEN ID.18
Food Ordering,0,7,0,VOLKSWAGEN ID.19
Vpa,18,26,69%,GAC Aion V 
APP Management ,6,7,86%,GAC Aion V 
Remote Service ,8,8,100%,GAC Aion V 
Personalization,8,10,100%,GAC Aion V 
Instant Massage,0,7,0,GAC Aion V 
Smart Navigation,9,15,62%,GAC Aion V 
Smart Parking ,8,13,64%,GAC Aion V 
Smart Charging,5,18,26%,GAC Aion V 
Car Wallet,1,6,16.70%,GAC Aion V 
Game,4,17,23.50%,GAC Aion V 
Video,0,15,0,GAC Aion V 
Music,8,16,50%,GAC Aion V 
Ticket Booking,0,6,0,GAC Aion V 
Food Ordering,0,7,0,GAC Aion V 
Vpa,8,26,30.80%,Ford Edge 
APP Management ,3,7,42.90%,Ford Edge 
Remote Service ,3,8,37.50%,Ford Edge 
Personalization,0,10,0,Ford Edge 
Instant Massage,0,7,0,Ford Edge 
Smart Navigation,9,15,60%,Ford Edge 
Smart Parking ,8,13,61.50%,Ford Edge 
Smart Charging,0,18,0,Ford Edge 
Car Wallet,3,6,50%,Ford Edge 
Game,0,17,0,Ford Edge 
Video,9,15,60%,Ford Edge 
Music,4,16,25%,Ford Edge 
Ticket Booking,2,6,33.30%,Ford Edge 
Food Ordering,6,7,85.70%,Ford Edge 
Vpa,8,26,30.80%,Lixiang ONE 
APP Management ,3,7,42.90%,Lixiang ONE 
Remote Service ,8,8,100%,Lixiang ONE 
Personalization,1,10,10%,Lixiang ONE 
Instant Massage,4,7,57.10%,Lixiang ONE 
Smart Navigation,8,15,53.30%,Lixiang ONE 
Smart Parking ,5,13,38.50%,Lixiang ONE 
Smart Charging,7,18,38.90%,Lixiang ONE 
Car Wallet,0,6,0,Lixiang ONE 
Game,6,17,35.20%,Lixiang ONE 
Video,9,15,60%,Lixiang ONE 
Music,4,16,25%,Lixiang ONE 
Ticket Booking,0,6,0,Lixiang ONE 
Food Ordering,0,7,0,Lixiang ONE 
Vpa,11,26,42.30%,Haval F7 
APP Management ,6,7,85.70%,Haval F7 
Remote Service ,6,8,75%,Haval F7 
Personalization,3,10,33.30%,Haval F7 
Instant Massage,4,7,57.10%,Haval F7 
Smart Navigation,7,15,46.70%,Haval F7 
Smart Parking ,6,13,46.20%,Haval F7 
Smart Charging,0,18,0,Haval F7 
Car Wallet,2,6,33.3,Haval F7 
Game,3,17,17.60%,Haval F7 
Video,8,15,53.30%,Haval F7 
Music,4,16,25%,Haval F7 
Ticket Booking,0,6,0,Haval F7 
Food Ordering,0,7,0,Haval F7 
